Date,Tenant,Industry_Type,Number_of_Floors,Number_of_Employees,Day_of_Week,Acquired_Area,Base_Electricity_Reading,Electricity_Reading,Month
2015-01-01,Cerner Health Care Solutions,Healthcare,5,65,3,297737.37737389834,97.02721083253427,165.85753442380343,1
2015-01-02,Netscout System Software,Software,4,399,4,484544.04893449426,325.1792489543947,583.1994657671747,1
2015-01-03,Via.com,Software,10,0,5,30517.733222274303,0.0,0.0,1
2015-01-04,Fidelity,Finance,4,0,6,266099.3903756254,0.0,0.0,1
2015-01-05,Netscout System Software,Software,6,169,0,484544.04893449426,82.53562847479697,152.8723992601661,1
2015-01-06,ANZ,Finance,4,247,1,235720.71443058396,113.67217824361033,205.53743747831368,1
2015-01-07,Netscout System Software,Software,2,96,2,484544.04893449426,114.19160108328555,198.39477418671692,1
2015-01-08,TP Vision,Software,5,312,3,311951.2495387996,174.39535101373565,310.8876221744994,1
2015-01-09,Target Operation,Consulting,8,105,4,82255.70289564463,110.93581234171259,203.57134226549448,1
2015-01-10,Cerner Health Care Solutions,Healthcare,9,0,5,297737.37737389834,0.0,4.2817607715042225,1
2015-01-11,Northern Operation Services,Outsourcing,9,0,6,90706.62617261536,0.0,5.851958549774972,1
2015-01-12,TCS,Telecommunications,10,179,0,363434.6900430807,59.55457502796816,105.22025837002978,1
2015-01-13,Nokia Siemens Network India,Technology,7,272,1,94389.6278951662,102.51809260725216,187.8124689906729,1
2015-01-14,Colt Technologies,Technology,1,367,2,470980.6193328473,130.16953610395197,237.87978720829574,1
2015-01-15,Monsanto Holdings,Telecommunications,1,323,3,386333.2702978652,105.54456734636692,185.14490954342,1
2015-01-16,Justdial,Electronics,2,415,4,28154.41451350742,221.84115125673318,398.2870303635526,1
2015-01-17,Philips,Technology,9,0,5,67038.4916708522,0.0,5.960247523255634,1
2015-01-18,Cerner Health Care Solutions,Healthcare,3,0,6,297737.37737389834,0.0,6.28210347890199,1
2015-01-19,ANZ,Finance,1,440,0,235720.71443058396,71.26334326872511,124.77870881867533,1
2015-01-20,Colt Technologies,Technology,5,408,1,470980.6193328473,159.41923814383566,288.9702019643814,1
2015-01-21,Mavenir,Biotechnology,3,357,2,287955.1965214351,143.5805977809844,264.4881289095916,1
2015-01-22,Target Operation,Consulting,1,283,3,82255.70289564463,75.01922369761014,138.26761233785246,1
2015-01-23,Nvidia Graphics,Semiconductors,4,420,4,31350.27225087647,176.9591693262953,325.6348211158249,1
